seed,val_bpb,n_samples,mean_word_count,std_word_count,mean_unique_words,std_unique_words,mean_lexical_diversity,std_lexical_diversity,mean_distinct_1,std_distinct_1,mean_distinct_2,std_distinct_2,mean_distinct_3,std_distinct_3,mean_word_entropy,std_word_entropy,mean_avg_sentence_length,std_avg_sentence_length,mean_repetition_rate,std_repetition_rate,mean_punctuation_rate,std_punctuation_rate,mean_degeneration_score,std_degeneration_score,mean_vocab_coverage,std_vocab_coverage
0,1.7596880555404404,150,138.6267,36.9752,76.56,13.2396,0.577,0.109,0.577,0.109,0.9104,0.0602,0.9869,0.0161,5.7059,0.3147,12.3727,4.7986,0.0,0.0,0.0508,0.0551,0.3721,0.1115,0.0153,0.0026
1,1.752423770508036,150,137.88,27.6065,75.2267,10.9728,0.5597,0.0925,0.5597,0.0925,0.904,0.0631,0.9886,0.0211,5.5757,0.3774,12.4638,5.457,0.0,0.0,0.0424,0.0168,0.3915,0.1296,0.015,0.0022
2,1.7501531359478393,150,136.0933,25.9287,77.0667,10.0973,0.5777,0.0784,0.5777,0.0784,0.9145,0.0489,0.9904,0.0122,5.6574,0.2969,11.1213,4.1786,0.0,0.0,0.0443,0.0166,0.3693,0.1271,0.0154,0.002
3,1.7446222371602818,150,129.2667,34.899,73.72,12.7023,0.596,0.1103,0.596,0.1103,0.9244,0.0583,0.9907,0.0153,5.648,0.3088,10.4961,4.9912,0.0,0.0,0.0458,0.02,0.3546,0.128,0.0147,0.0025
4,1.7557332125481437,150,112.56,39.6082,67.0467,13.7702,0.6355,0.1271,0.6355,0.1271,0.9367,0.0599,0.9924,0.0148,5.5728,0.3028,10.4971,5.1412,0.0,0.0,0.0515,0.024,0.3278,0.1252,0.0134,0.0028
5,1.752127684474005,150,124.74,33.8113,71.2533,12.3942,0.5965,0.1119,0.5965,0.1119,0.9209,0.0676,0.9892,0.0267,5.5898,0.3463,11.3023,5.9755,0.0,0.0,0.0466,0.0195,0.347,0.1289,0.0143,0.0025
6,1.773158908333291,150,136.72,32.5462,77.3267,12.9205,0.5837,0.0961,0.5837,0.0961,0.9164,0.0542,0.9892,0.0148,5.7184,0.3098,10.7298,4.8247,0.0,0.0,0.0488,0.0246,0.3741,0.1216,0.0155,0.0026
7,1.767765264348806,150,140.6667,28.9836,78.2467,10.7864,0.5711,0.0896,0.5711,0.0896,0.9074,0.0583,0.9862,0.0177,5.7238,0.2635,13.368,4.6531,0.0,0.0,0.0432,0.0206,0.3961,0.1309,0.0156,0.0022
8,1.765077532373951,150,141.14,28.4481,74.9667,11.1016,0.5456,0.0918,0.5456,0.0918,0.8883,0.0847,0.9815,0.0528,5.54,0.4386,13.6107,8.7582,0.0,0.0,0.0422,0.0222,0.4057,0.1414,0.015,0.0022
9,1.767928643982988,150,133.4667,31.7513,75.88,11.5024,0.5883,0.1006,0.5883,0.1006,0.9101,0.0645,0.9866,0.0225,5.6831,0.2925,12.4001,5.6851,0.0,0.0,0.047,0.0236,0.3883,0.1385,0.0152,0.0023
10,1.756246142720763,150,124.86,35.7413,72.68,13.2963,0.6086,0.1074,0.6086,0.1074,0.928,0.0562,0.9907,0.0161,5.6336,0.3374,11.4406,5.1819,0.0,0.0,0.0562,0.074,0.3353,0.109,0.0145,0.0027
11,1.744882299649094,150,134.3,35.7912,74.4067,15.1032,0.5799,0.1148,0.5799,0.1148,0.9092,0.0641,0.9871,0.0192,5.604,0.4066,12.5624,6.1484,0.0,0.0,0.0471,0.0412,0.3904,0.1475,0.0149,0.003
12,1.7586819146158021,150,141.8667,23.4974,77.7467,8.9325,0.5584,0.0804,0.5584,0.0804,0.8957,0.0514,0.9873,0.0159,5.6317,0.2969,12.1062,3.7086,0.0,0.0,0.0371,0.0095,0.3993,0.1137,0.0155,0.0018
13,1.750055893461766,150,134.7133,30.508,74.94,11.0817,0.5738,0.0927,0.5738,0.0927,0.9109,0.0582,0.9882,0.0169,5.649,0.297,12.1085,5.0705,0.0,0.0,0.0447,0.0198,0.3732,0.1211,0.015,0.0022
14,1.762273615639988,150,131.6067,33.2744,75.0467,12.2449,0.5912,0.0983,0.5912,0.0983,0.9148,0.0577,0.9873,0.0172,5.6723,0.2659,13.2584,6.1359,0.0,0.0,0.0426,0.0183,0.3678,0.1254,0.015,0.0024
15,1.7535263096793057,150,119.9733,35.7929,70.94,13.4518,0.6218,0.1151,0.6218,0.1151,0.9367,0.0499,0.9931,0.0125,5.6087,0.3706,11.6617,5.6164,0.0008,0.0102,0.05,0.0207,0.3367,0.1288,0.0142,0.0027
16,1.7491268216674862,150,137.0133,30.8484,75.7867,12.2586,0.57,0.0937,0.57,0.0937,0.9131,0.0539,0.9903,0.0139,5.6436,0.3401,10.6975,4.2455,0.0,0.0,0.047,0.0216,0.3903,0.1345,0.0152,0.0025
17,1.7593270961882055,150,133.82,31.8706,75.0267,12.104,0.5801,0.1044,0.5801,0.1044,0.9086,0.0658,0.9872,0.0193,5.6353,0.3233,11.7374,5.7412,0.0,0.0,0.0413,0.0187,0.3677,0.1257,0.015,0.0024
18,1.7589615586141358,150,129.7467,28.9954,73.78,11.3266,0.5827,0.0819,0.5827,0.0819,0.923,0.0501,0.9907,0.0135,5.6347,0.2678,12.245,5.8652,0.0013,0.0163,0.0494,0.0257,0.3493,0.1084,0.0148,0.0023
19,1.7700506556606683,150,133.9,31.3713,73.8067,12.3416,0.5689,0.0943,0.5689,0.0943,0.9076,0.0633,0.9881,0.0182,5.592,0.3885,11.0818,4.6886,0.0,0.0,0.0507,0.023,0.3823,0.1229,0.0148,0.0025
20,1.7475227086885872,150,135.26,26.5115,76.6733,10.7427,0.5787,0.0805,0.5787,0.0805,0.9117,0.0508,0.9913,0.0116,5.6273,0.2972,11.3314,4.364,0.0,0.0,0.0427,0.0193,0.3677,0.1117,0.0153,0.0021
21,1.7553704395853518,150,137.24,35.457,75.1333,13.7834,0.5696,0.107,0.5696,0.107,0.9076,0.0643,0.988,0.0169,5.6389,0.3629,12.4454,5.6235,0.0,0.0,0.0491,0.06,0.3741,0.1255,0.015,0.0028
22,1.7658018405609148,150,126.8267,36.1236,72.9933,12.9128,0.6023,0.1115,0.6023,0.1115,0.9227,0.0621,0.99,0.0165,5.6332,0.3021,13.4039,6.7119,0.0,0.0,0.0468,0.0225,0.352,0.136,0.0146,0.0026
23,1.7652440349752256,150,143.1133,29.4466,79.34,11.8321,0.5687,0.0884,0.5687,0.0884,0.9043,0.0566,0.9883,0.0148,5.7029,0.3046,13.5757,4.4136,0.0,0.0,0.0389,0.0153,0.3917,0.1193,0.0159,0.0024
24,1.760783013595942,150,130.1067,33.2538,72.9467,12.339,0.5824,0.104,0.5824,0.104,0.9147,0.0567,0.9905,0.014,5.5796,0.3226,11.5579,4.6038,0.0,0.0,0.048,0.0214,0.384,0.1366,0.0146,0.0025
25,1.7509140856175005,150,133.7933,25.8063,74.5867,11.355,0.5675,0.081,0.5675,0.081,0.907,0.0576,0.9896,0.0164,5.5606,0.3354,12.6297,4.9036,0.0,0.0,0.0442,0.0241,0.3831,0.1227,0.0149,0.0023
26,1.7544744885476968,150,126.8533,35.4702,73.0133,12.2022,0.6028,0.1091,0.6028,0.1091,0.924,0.0609,0.9906,0.0154,5.6379,0.2865,11.6488,5.3384,0.0,0.0,0.0557,0.033,0.3518,0.1126,0.0146,0.0024
27,1.7461591515017456,150,138.3133,31.2329,77.1867,12.0058,0.5756,0.0998,0.5756,0.0998,0.912,0.0734,0.9861,0.0354,5.6981,0.3627,11.8813,5.1659,0.0,0.0,0.0448,0.0219,0.3683,0.1349,0.0154,0.0024
28,1.7317277342009374,150,136.2467,30.1525,75.06,12.1432,0.5672,0.1046,0.5672,0.1046,0.9067,0.0611,0.9863,0.0186,5.6445,0.3352,11.378,5.0209,0.0,0.0,0.0468,0.0262,0.3913,0.1386,0.015,0.0024
29,1.749638492270002,150,125.4133,31.2583,70.78,10.3479,0.5877,0.1096,0.5877,0.1096,0.9146,0.0669,0.9902,0.0168,5.5279,0.3282,12.3715,5.1512,0.0,0.0,0.0447,0.0194,0.3684,0.1451,0.0142,0.0021
